,TICKET_ID,LIBELLE_ENCODED
0,35592159,599
1,35592159,599
2,35592159,167
3,35592159,298
4,35592159,601
5,35509899,341
6,35509899,769
7,36417517,602
8,36417517,602
9,36417517,602
10,36417517,753
11,36417517,753
12,36417517,379
13,36417517,379
14,33002894,943
15,33064616,161
16,33064616,228
17,33534570,574
18,33534570,786
19,33534570,1197
20,32975823,573
21,32975823,1258
22,32975823,646
23,32975823,734
24,32995003,591
25,34233630,1126
26,34233630,113
27,34233630,932
28,34233630,929
29,32983494,1120
30,32983494,574
31,32983494,574
32,32983494,849
33,33347114,1146
34,33347114,380
35,33347114,611
36,33347114,766
37,33347114,735
38,33347114,339
39,34416634,85
40,34416634,568
41,34416634,90
42,34416634,623
43,34416634,91
44,34416634,57
45,34743982,713
46,34743982,1054
47,34773724,102
48,34773724,1116
49,34773724,574
50,34773724,95
51,34773724,720
52,34773724,1018
53,34773724,713
54,34773724,418
55,34773724,462
56,34773724,65
57,34773724,43
58,34773724,46
59,34773724,429
60,34773724,786
61,33153030,615
62,33153030,1099
63,33153030,581
64,33153030,598
65,33153030,123
66,33060931,99
67,33060931,259
68,33913524,379
69,33913524,950
70,33913524,386
71,33913524,1099
72,33423427,44
73,34029142,990
74,34029142,1126
75,33062659,261
76,33062659,1148
77,33062659,582
78,33062659,1147
79,33062659,598
80,33456754,303
81,33526997,261
82,33526997,568
83,33609672,812
84,33609672,581
85,33609672,598
86,33923246,633
87,34205098,39
88,34205098,49
89,34358800,599
90,34358800,598
91,34391033,303
92,34417657,596
93,34417657,123
94,34437298,595
95,34437298,123
96,34551371,568
97,34828511,261
98,34828511,122
99,34828511,596
100,34828511,595
101,35040605,1136
102,35040605,636
103,35040605,595
104,35040605,601
105,35464379,122
106,35775482,324
107,36204706,230
108,36204706,236
109,36204706,229
110,36002906,456
111,36002906,815
112,36002906,207
113,36262191,587
114,36262191,129
115,36262191,78
116,36262191,72
117,36262191,244
118,36262191,764
119,36262191,74
120,36262191,73
121,36262191,70
122,36262191,66
123,36262191,372
124,36262191,900
125,34336345,845
126,34336345,1163
127,35246975,845
128,33202807,876
129,33202807,808
130,33202807,403
131,33202807,43
132,33202807,1098
133,33202807,618
134,33365681,90
135,33365681,100
136,34104461,1058
137,34104461,281
138,34104461,1099
139,34104461,601
140,34488567,729
141,34488567,621
142,34488567,49
143,34488567,43
144,34488567,45
145,34689069,318
146,34689069,622
147,35777902,905
148,35777902,822
149,35777902,313
150,35777902,325
151,36183588,906
152,33105178,856
153,33105178,792
154,33105178,836
155,33105178,1007
156,33105178,1005
157,33105178,176
158,33692412,903
159,33692412,44
160,33692412,718
161,33692412,1023
162,34406592,121
163,34406592,588
164,34406592,845
165,34406592,720
166,33187009,124
167,33187009,596
168,33187009,595
169,33187009,581
170,32985091,615
171,32985091,616
172,32962665,918
173,32962665,535
174,34219800,845
175,34219800,843
176,34219800,542
177,34819426,729
178,34819426,717
179,34819426,846
180,34819426,9
181,34819426,1124
182,34819432,907
183,36166298,1115
184,36166298,692
185,36177803,230
186,36196481,230
187,36196481,236
188,36196481,53
189,36196481,692
190,36196481,54
191,36244282,230
192,36244282,284
193,36244282,151
194,36290527,39
195,36290527,755
196,36290527,243
197,36290527,69
198,36290527,363
199,35821503,311
200,32985875,253
201,32985875,593
202,33214368,386
203,33547297,1100
204,34656210,596
205,36111293,257
206,36111293,627
207,34083250,1231
208,34083250,295
209,34083250,908
210,34083250,652
211,34482948,717
212,34482948,844
213,35117363,257
214,35117363,794
215,35117363,7
216,35117363,746
217,35117363,339
218,35117364,585
219,35117364,272
220,35117364,705
221,35464394,377
222,35464394,730
223,35464394,156
224,35464394,323
225,35464394,401
226,35464394,1184
227,36020415,698
228,36020415,230
229,36020415,284
230,36020415,53
231,36020415,53
232,36020415,151
233,36020415,630
234,36020415,54
235,36020415,715
236,36020415,610
237,36020415,779
238,33060160,66
239,33060160,581
240,34856724,78
241,34856724,70
242,34856724,600
243,33066709,1016
244,33272188,7
245,33272188,626
246,33272188,1099
247,33615798,124
248,33615798,1016
249,33615798,594
250,34004412,1016
251,34367874,71
252,34367874,626
253,34587334,126
254,34587334,1016
255,34587334,626
256,34587334,595
257,34587334,594
258,35030348,626
259,35030348,594
260,35826633,578
261,35947753,594
262,35947753,594
263,36320917,578
264,36320917,578
265,33228657,43
266,33228657,45
267,35102690,595
268,35367660,271
269,33825399,1160
270,33825399,1154
271,33825399,1244
272,33240272,1166
273,34100155,1101
274,34100155,1092
275,35435672,1130
276,35435672,260
277,36130606,1164
278,33483238,1146
279,33483238,735
280,33910856,1193
281,33956681,1169
282,34052300,305
283,34180978,335
284,34180978,594
285,34180978,598
286,34374175,586
287,34374175,587
288,34374175,585
289,34439111,1175
290,34439111,32
291,34439111,32
292,34497944,1169
293,34497944,594
294,34497944,594
295,34941414,1214
296,34941414,1146
297,34941414,1160
298,35183711,304
299,35183711,303
300,35183711,611
